"DateTime","(W/m2) Downward Shortwave Radiation (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"2016-10-01",185.2
"2016-11-01",112.9
"2016-12-01",94.3
"2017-01-01",133.6
"2017-02-01",148.7
"2017-03-01",182.4
"2017-04-01",226.5
"2017-05-01",237.3
"2017-06-01",300.4
"2017-07-01",295.5
"2017-08-01",250.3
"2017-09-01",227.8
"2017-10-01",187.5
"2017-11-01",129
"2017-12-01",101.8
"2018-01-01",129.7
"2018-02-01",102.5
"2018-03-01",192.2
"2018-04-01",241.7
"2018-05-01",264
"2018-06-01",281.4
"2018-07-01",297.9
"2018-08-01",271.3
"2018-09-01",167.3
"2018-10-01",114.2
"2018-11-01",117
"2018-12-01",105.4
"2019-01-01",116.5
"2019-02-01",116.8
"2019-03-01",166
"2019-04-01",244.6
"2019-05-01",222.9
"2019-06-01",270.2
"2019-07-01",291.7
"2019-08-01",271.8
"2019-09-01",235.5
"2019-10-01",168.4
"2019-11-01",114.4
"2019-12-01",131.1
